solver,family,seed,decisions,return,discounted_return,progress,mean_abs_d,max_abs_d,mean_abs_phi,mean_speed,brake_ratio,offroad,other_collision,duck_collision,timeout,goal,full_stops,stop_violations,passed_stops,stop_zone_decisions,duck_yield_decisions,duck_active_decisions,crossings,reason
sarsa,,1012,150,11.949697560607637,6.227692896167384,17.388810821181433,0.03631844618674235,0.08674326939874943,0.16438018192648104,0.11827508975674168,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1013,150,36.839993321845306,14.957460464704479,24.81931753403848,0.024703665160001123,0.05733268480067399,0.10540101228380329,0.1666971887758107,0.06666666666666667,false,false,false,false,false,1,0,1,18,4,7,1,in_progress
sarsa,,1014,150,37.62753407054957,15.445372175876233,25.37584095048373,0.022693398250458293,0.04879807018353888,0.09782815470768291,0.17028675937195753,0.06666666666666667,false,false,false,false,false,1,0,1,18,5,7,1,in_progress
sarsa,,1015,150,13.443615553148025,7.219167680204637,17.71768461168387,0.03877415246173957,0.08471992488007914,0.14199339798752553,0.11955981083876224,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1016,150,37.642798293190424,19.335639669908645,25.431443927621462,0.025100134447825127,0.052497779195138206,0.09196029175469493,0.17067533202292032,0.06666666666666667,false,false,false,false,false,1,0,1,15,5,7,1,in_progress
sarsa,,1017,150,37.613677900799296,15.518193298094946,25.740213913213484,0.02568697212550628,0.07429058899858319,0.10498348831584971,0.17301127237866304,0.06666666666666667,false,false,false,false,false,1,0,1,16,4,7,1,in_progress
sarsa,,1018,150,12.68406669346251,5.949629894887823,17.63258965242379,0.03771197797526389,0.08621817427836184,0.16591702742236922,0.11952721220320316,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1019,150,12.323449576031694,6.563157214138643,17.31889106034918,0.03897336172139461,0.08338264862284951,0.16725695305714486,0.11737995925126093,0.04666666666666667,false,false,false,false,false,0,0,0,0,5,7,1,in_progress
sarsa,,1020,150,38.29735694169143,15.814971408857373,25.865690795304598,0.020009291461754498,0.04675363591205269,0.09185700673445317,0.17344923518855804,0.06666666666666667,false,false,false,false,false,1,0,1,17,5,7,1,in_progress
td3,,1001,150,-242.04181912097815,-91.53327652336868,3.2742986176912057,0.03151410254891661,0.04774380604510809,0.1304265159336517,0.022223118092526882,0.02666666666666667,false,false,false,false,false,1,0,0,127,0,0,0,in_progress
td3,,1002,150,-210.42543684464243,-74.36083636692649,5.224652750503158,0.033916744300977346,0.04724027569902145,0.11420371199291549,0.03515049981569948,0.03333333333333333,false,false,false,false,false,1,0,0,110,0,0,0,in_progress
td3,,1003,150,-230.96935919765315,-85.89329230480192,3.4371349910424995,0.032209675670372195,0.04510728069854154,0.13338520468878054,0.023340209501097164,0.02666666666666667,false,false,false,false,false,1,0,0,123,0,0,0,in_progress
td3,,1004,150,-215.208312846234,-77.86975097120393,5.308121736600592,0.03837224820659831,0.050073958710293895,0.10441411982931538,0.035628570310588775,0.03333333333333333,false,false,false,false,false,1,0,0,110,0,0,0,in_progress
td3,,1005,150,-213.5619050889522,-74.82198916193694,4.080819146626401,0.02905853747152376,0.044460726894896656,0.13151099499431387,0.02763256928780051,0.02666666666666667,false,false,false,false,false,1,0,0,115,0,0,0,in_progress
td3,,1006,150,-172.6880325191671,-56.05443447782183,5.922929704899953,0.02727686159075842,0.059482714876592596,0.13824962374234703,0.0400496503051453,0.02666666666666667,false,false,false,false,false,1,0,0,99,0,0,0,in_progress
td3,,1007,150,-221.24758032723662,-79.3632738748119,3.517461897850883,0.03023494511059542,0.04324579597181047,0.14064432796446075,0.02387638314722398,0.02666666666666667,false,false,false,false,false,1,0,0,123,0,0,0,in_progress
td3,,1008,150,-187.50305145089845,-61.18890241372451,5.4507827153815445,0.025144769688581616,0.044342128610393466,0.1320999974451675,0.03685601262302143,0.02666666666666667,false,false,false,false,false,1,0,0,105,0,0,0,in_progress
td3,,1009,150,-213.79615407237358,-75.95350892542578,5.127846711412653,0.04050094204408654,0.06660381200086857,0.1064545252539307,0.03448770895822774,0.02666666666666667,false,false,false,false,false,1,0,0,111,0,0,0,in_progress
td3,,1010,150,-216.08255576563627,-76.43792559680332,3.768867137251119,0.03201437995271266,0.04664654021875658,0.14051684265313466,0.02560576918467647,0.02666666666666667,false,false,false,false,false,1,0,0,120,0,0,0,in_progress
td3,,1011,150,-259.7136720413697,-103.97834481894343,2.971650173660995,0.03748296563810721,0.05037112618187901,0.11338412482454721,0.020032195117269853,0.03333333333333333,false,false,false,false,false,1,0,0,131,0,0,0,in_progress
td3,,1012,150,-216.7510052208977,-76.65774434437108,4.174017729876618,0.02796008615915776,0.04493890759543888,0.13544682420866616,0.02832349958342809,0.02666666666666667,false,false,false,false,false,1,0,0,116,0,0,0,in_progress
td3,,1013,150,-195.21441192597675,-65.12169170174936,5.0647997097692805,0.02438360302162941,0.04164387959689361,0.14409793252466338,0.03428132454770991,0.02666666666666667,false,false,false,false,false,1,0,0,111,0,0,0,in_progress
td3,,1014,150,-211.1519231568349,-74.38928739818859,4.833965002976028,0.034727552252317787,0.048398585625964025,0.10561183061703695,0.03246216735583352,0.03333333333333333,false,false,false,false,false,1,0,0,112,0,0,0,in_progress
td3,,1015,150,-222.46003434331683,-80.73980586767094,4.854778633855348,0.04375273401780546,0.06363619178919747,0.10295934204463442,0.032593768476071115,0.02666666666666667,false,false,false,false,false,1,0,0,114,0,0,0,in_progress
td3,,1016,150,-223.61749965410277,-81.62331712236812,4.0264080672233336,0.035778092251060496,0.048762533594999345,0.10897272156597228,0.02705751229584691,0.02666666666666667,false,false,false,false,false,1,0,0,117,0,0,0,in_progress
td3,,1017,150,-214.66046298549452,-75.22321411920198,4.52440174795812,0.03304060486479215,0.049107872077504625,0.11904201105289366,0.03048776436834564,0.02666666666666667,false,false,false,false,false,1,0,0,115,0,0,0,in_progress
td3,,1018,150,-216.90143011036523,-77.8437332352936,4.6970852857466285,0.0445306774526704,0.05263101562352811,0.1038846888989026,0.03153798202680478,0.03333333333333333,false,false,false,false,false,1,0,0,112,0,0,0,in_progress
td3,,1019,150,-218.71973592722782,-77.87889780358257,4.157791910671148,0.028460415562166577,0.046775562443875485,0.13578762807858435,0.028201595296829265,0.02666666666666667,false,false,false,false,false,1,0,0,117,0,0,0,in_progress
td3,,1020,150,-172.95195516656696,-54.39595622403845,5.262520026776401,0.02970051309590613,0.07230307353431126,0.14087039467870588,0.035676377467024935,0.02666666666666667,false,false,false,false,false,1,0,0,101,0,0,0,in_progress
